"","x"
"1204","84364"
"1205","1643"
"1206","53"
"1207","91252"
"1208","5702"
"1209","10658"
"1210","55709"
"1211","23788"
"1212","23360"
"1213","219541"
"1214","51075"
"1215","9404"
"1216","80829"
"1217","5007"
"1218","79080"
"1219","79073"
"1220","54972"
"1221","1642"
"1222","220002"
"1223","79869"
"1224","745"
"1225","746"
"1226","7439"
"1227","2495"
"1228","79026"
"1229","64852"
"1230","9219"
"1231","256364"
"1232","6094"
"1233","26229"
"1234","23193"
"1235","80789"
"1236","102288414"
"1237","79081"
"1238","751071"
"1239","790955"
"1240","26580"
"1241","283237"
"1242","79842"
"1243","374395"
"1244","6811"
"1245","54663"
"1246","23642"
"1247","9303"
"1248","6520"
"1249","11145"
"1250","10313"
"1251","65998"
"1252","2011"
"1253","283248"
"1254","1351"
"1255","55611"
"1256","10963"
"1257","83707"
"1258","84304"
"1259","3338"
"1260","7423"
"1261","2286"
"1262","56834"
"1263","572"
"1264","25824"
"1265","283234"
"1266","4221"
"1267","10938"
"1268","23130"
"1269","402"
"1270","29901"
"1271","738"
"1272","7108"
"1273","2197"
"1274","740"
"1275","823"
"1276","10435"
"1277","5977"
"1278","283130"
"1279","83786"
"1280","378938"
"1281","57410"
"1282","10534"
"1283","23625"
"1284","4296"
"1285","399909"
"1286","6494"
"1287","84153"
"1288","91056"
"1289","254122"
"1290","1072"
"1291","9158"
"1292","11007"
"1293","8061"
"1294","10589"
"1295","9092"
"1296","84285"
"1297","8815"
"1298","89792"
"1299","55690"
"1300","64837"
"1301","256472"
"1302","57124"
"1303","9610"
"1304","25855"
"1305","3177"
"1306","65003"
"1307","10072"
"1308","582"
"1309","254359"
"1310","8722"
"1311","9973"
"1312","5936"
"1313","79703"
"1314","5091"
"1315","91683"
"1316","22992"
"1317","156"
"1318","338692"
"1319","5499"
"1320","57571"
"1321","6199"
"1322","57175"
"1323","80194"
"1324","9600"
"1325","10263"
"1326","4723"
"1327","254552"
"1328","347853"
"1329","221"
"1330","10312"
"1331","1119"
"1332","53838"
"1333","1374"
"1334","595"
"1335","220064"
"1336","8772"
"1337","8500"
"1338","2017"
"1339","1717"
"1340","55191"
"1341","55199"
"1342","100133315"
"1343","55298"
"1344","10068"
"1345","100128494"
"1346","220074"
"1347","25906"
"1348","2348"
"1349","3636"
"1350","5138"
"1351","10809"
"1352","9873"
"1353","5029"
"1354","84957"
"1355","5870"
"1356","7351"
"1357","26005"
"1358","51400"
"1359","283208"
"1360","283209"
"1361","387787"
"1362","254225"
"1363","100507050"
"1364","6188"
"1365","283212"
"1366","871"
"1367","84649"
"1368","5612"
"1369","100506127"
"1370","56946"
"1371","25987"
"1372","726"
"1373","5058"
"1374","1207"
"1375","51773"
"1376","28971"
"1377","79053"
"1378","27314"
"1379","51585"
"1380","338699"
"1381","1740"
"1382","55863"
"1383","58487"
"1384","8726"
"1385","10873"
"1386","11098"
"1387","8322"
"1388","1075"
"1389","50507"
"1390","10003"
"1391","120103"
"1392","56935"
"1393","692072"
"1394","677805"
"1395","9440"
"1396","24145"
"1397","54851"
"1398","2526"
"1399","154810"
"1400","10929"
"1401","23052"
"1402","143686"
"1403","143684"
"1404","79780"
"1405","8690"
"1406","57562"
"1407","10413"
"1408","330"
"1409","80310"
"1410","837"
"1411","4863"
"1412","143888"
"1413","85463"
"1414","2230"
"1415","143903"
"1416","79796"
"1417","64776"
"1418","1410"
"1419","3316"
"1420","85458"
"1421","1737"
"1422","120379"
"1423","55216"
"1424","26521"
"1425","83875"
"1426","4684"
"1427","100288346"
"1428","1813"
"1429","4837"
"1430","25996"
"1431","8882"
"1432","23387"
"1433","51092"
"1434","9159"
"1435","23621"
"1436","6327"
"1437","9354"
"1438","10632"
"1439","4297"
"1440","84866"
"1441","56912"
"1442","23187"
"1443","1656"
"1444","283149"
"1445","338657"
"1446","6230"
"1447","55823"
"1448","1798"
"1449","25988"
"1450","79671"
"1451","867"
"1452","79102"
"1453","220323"
"1454","23365"
"1455","2900"
"1456","219899"
"1457","6309"
"1458","6653"
"1459","84959"
"1460","79864"
"1461","3312"
"1462","57476"
"1463","84897"
"1464","79684"
"1465","63876"
"1466","9638"
"1467","9538"
"1468","3703"
"1469","219844"
"1470","84881"
"1471","55572"
"1472","114609"
"1473","2313"
"1474","9743"
"1475","56980"
"1476","6768"
"1477","29068"
"1478","170689"
"1479","50863"
"1480","4978"
"1481","83700"
"1482","112936"
"1483","27034"
"1484","5927"
"1485","84318"
"1486","283358"
"1487","4815"
"1488","100049716"
"1489","65125"
"1490","5893"
"1491","23085"
"1492","81029"
"1493","144699"
"1494","79602"
"1495","196513"
"1496","775"
"1497","2288"
"1498","83714"
"1499","83695"
"1500","7289"
"1501","7004"
"1502","10867"
"1503","57097"
"1504","103752584"
"1505","57103"
"1506","8798"
"1507","10566"
"1508","4704"
"1509","3742"
"1510","4908"
"1511","928"
"1512","4055"
"1513","678655"
"1514","6843"
"1515","51258"
"1516","2597"
"1517","25900"
"1518","4839"
"1519","1108"
"1520","57121"
"1521","171017"
"1522","8079"
"1523","5763"
"1524","27239"
"1525","2784"
"1526","8078"
"1527","10233"
"1528","1822"
"1529","11331"
"1530","10162"
"1531","5830"
"1532","144195"
"1533","6515"
"1534","55810"
"1535","440078"
"1536","8076"
"1537","57494"
"1538","1911"
"1539","144571"
"1540","642846"
"1541","29121"
"1542","8531"
"1543","2120"
"1544","100506248"
"1545","4040"
"1546","54682"
"1547","503693"
"1548","118426"
"1549","80824"
"1550","387841"
"1551","50865"
"1552","57613"
"1553","83445"
"1554","2012"
"1555","2904"
"1556","105369669"
"1557","55766"
"1558","144608"
"1559","51729"
"1560","11171"
"1561","51071"
"1562","55885"
"1563","728622"
"1564","5139"
"1565","51026"
"1566","80763"
"1567","2998"
"1568","10060"
"1569","6660"
"1570","586"
"1571","11228"
"1572","3709"
"1573","26127"
"1574","55711"
"1575","51290"
"1576","65981"
"1577","1663"
"1578","58516"
"1579","160518"
"1580","100874249"
"1581","196394"
"1582","440093"
"1583","55196"
"1584","10059"
"1585","51067"
"1586","5318"
"1587","144245"
"1588","55605"
"1589","120892"
"1590","283464"
"1591","10138"
"1592","51535"
"1593","83448"
"1594","51135"
"1595","5756"
"1596","4753"
"1597","51054"
"1598","196527"
"1599","196528"
"1600","347902"
"1601","10411"
"1602","55652"
"1603","51564"
"1604","79022"
"1605","5213"
"1606","121274"
"1607","54934"
"1608","904"
"1609","112"
"1610","784"
"1611","27289"
"1612","85478"
"1613","51303"
"1614","377"
"1615","8085"
"1616","55716"
"1617","7846"
"1618","84790"
"1619","84070"
"1620","91010"
"1621","57701"
"1622","100286844"
"1623","144233"
"1624","84987"
"1625","91012"
"1626","51474"
"1627","113251"
"1628","466"
"1629","4891"
"1630","25875"
"1631","81566"
"1632","6334"
"1633","160622"
"1634","3164"
"1635","60673"
"1636","3855"
"1637","3856"
"1638","1975"
"1639","283335"
"1640","23371"
"1641","3489"
"1642","283337"
"1643","84975"
"1644","5204"
"1645","8086"
"1646","6667"
"1647","54458"
"1648","5094"
"1649","11016"
"1650","517"
"1651","57658"
"1652","25946"
"1653","5502"
"1654","2647"
"1655","967"
"1656","10220"
"1657","84324"
