"","Individual","Line","Treatment","Timepoint","Condition","Magnification","Image","Nuclei_Count","Mean_of_Mean","Mean_of_Median","Mean_of_Max","Mean_Percent_Red_Positive","Mean_Red_Positive_Pixels","Mean_Norm_Percent_Red_Positive"
"82","Ind3","75-1","DOX","24T","DOX_24T","20X","DOX_24Tdup_75_EMP_20X_RGB_0002_DAPI",85,30.2997647058824,10.9294117647059,103.141176470588,379.716752941176,1558.36470588235,379.716746760374
"83","Ind3","75-1","DOX","24T","DOX_24T","20X","DOX_24Tdup_75_EMP_20X_RGB_0003_DAPI",141,35.9725957446809,13.2836879432624,105.914893617021,435.299063829787,1471.21985815603,435.299172403618
"84","Ind3","75-1","DOX","24T","DOX_24T","20X","DOX_24Tdup_75_EMP_20X_RGB_0004_DAPI",103,34.9489029126214,12.1456310679612,105.436893203883,430.425621359223,1531.38834951456,430.42557440558
"85","Ind3","75-1","DOX","24T","DOX_24T","20X","DOX_24Tdup_75_EMP_20X_RGB_0005_DAPI",90,34.4435333333333,11.3111111111111,116.8,379.004477777778,1568.34444444444,379.004543171419
"86","Ind3","75-1","DOX","24T","DOX_24T","20X","DOX_24Tdup_75_EMP_20X_RGB_0006_DAPI",204,40.3119754901961,15.8039215686275,110.019607843137,491.685024509804,1348.60784313725,491.685147365821
"87","Ind3","75-1","DOX","24T","DOX_24T","20X","DOX_24Tdup_75_EMP_20X_RGB_0007_DAPI",142,46.7023857142857,18.6571428571429,117.964285714286,578.362821428571,1473.61428571429,578.36287201176
"88","Ind3","75-1","DOX","24T","DOX_24T","20X","DOX_24Tdup_75_EMP_20X_RGB_0008_DAPI",194,43.1346288659794,19.3350515463918,93.8505154639175,569.97781443299,1228.64948453608,569.977863884897
"89","Ind4","84-1","VEH","144R","VEH_144R","20X","DMSO_144R_EMP_250904_RGB_0001_DAPI",34,20.0166,9.9,45.4,122.3389,313.1,122.338766599507
"90","Ind4","84-1","VEH","144R","VEH_144R","20X","DMSO_144R_EMP_250904_RGB_0002_DAPI",75,13.7793513513514,8.43243243243243,38.2432432432432,51.5494054054054,186.081081081081,51.5494718240147
"91","Ind4","84-1","VEH","144R","VEH_144R","20X","DMSO_144R_EMP_250904_RGB_0003_DAPI",55,18.6793157894737,8.10526315789474,65.7894736842105,96.5176842105263,259.473684210526,96.5176037044724
"92","Ind4","84-1","VEH","144R","VEH_144R","20X","DMSO_144R_EMP_250904_RGB_0004_DAPI",65,11.9551515151515,7.60606060606061,37.3030303030303,69.3968484848485,323.151515151515,69.3967436313695
"93","Ind4","84-1","VEH","144R","VEH_144R","20X","DMSO_144R_EMP_250904_RGB_0005_DAPI",69,15.5605172413793,7.89655172413793,48.1034482758621,55.5442413793103,152.241379310345,55.5442971002401
"94","Ind4","84-1","VEH","144R","VEH_144R","20X","DMSO_144R_EMP_250904_RGB_0006_DAPI",102,11.816,7.87179487179487,34.4615384615385,59.191,238.051282051282,59.1908565435623
"95","Ind4","84-1","VEH","144R","VEH_144R","20X","DMSO_144R_EMP_250904_RGB_0007_DAPI",105,15.2161707317073,7.80487804878049,55.0975609756098,62.4049268292683,235.829268292683,62.4049463861747
"96","Ind4","84-1","VEH","144R","VEH_144R","20X","DMSO_144R_EMP_250904_RGB_0008_DAPI",25,10.183625,7.625,21.375,1.109875,2.625,1.10986584746905
"97","Ind4","84-1","VEH","144R","VEH_144R","20X","DMSO_144R_EMP_250904_RGB_0009_DAPI",54,11.7464333333333,7.63333333333333,43.2666666666667,35.9190666666667,121.233333333333,35.9190267450927
"98","Ind4","84-1","VEH","144R","VEH_144R","20X","DMSO_144R_EMP_250904_RGB_0010_DAPI",27,13.7250833333333,8.16666666666667,57,74.4383333333333,150.166666666667,74.4385750595474
"99","Ind4","84-1","VEH","144R","VEH_144R","20X","DMSO_144R_EMP_250904_RGB_0011_DAPI",70,16.2258974358974,8.53846153846154,50.4102564102564,90.0938461538462,242.25641025641,90.0938390699162
"100","Ind4","84-1","VEH","144R","VEH_144R","20X","DMSO_144R_EMP_250904_RGB_0012_DAPI",47,13.7730526315789,8.21052631578947,34.6315789473684,72.9546842105263,198.842105263158,72.9545943245978
